Volcano Name,Country,iso_alpha,Latitude,Longitude,VElevation,VType,VEI,Eruption_Year,Century,Deaths
Gamalama,Indonesia,IDN,0.8,127.33,1715,Stratovolcano(es),3,1775,1700s,141
Galunggung,Indonesia,IDN,-7.25,108.058,2168,Stratovolcano,4,1982,1900s,58
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,4,1872,1800s,30
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,4,1872,1800s,200
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,4,2010,2000s,34
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,4,2010,2000s,350
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,4,2010,2000s,1
Kelut,Indonesia,IDN,-7.93,112.308,1731,Stratovolcano,4,1919,1900s,5110
Kelut,Indonesia,IDN,-7.93,112.308,1731,Stratovolcano,4,1951,1900s,7
Kelut,Indonesia,IDN,-7.93,112.308,1731,Stratovolcano,4,1966,1900s,211
Kelut,Indonesia,IDN,-7.93,112.308,1731,Stratovolcano,4,1966,1900s,3
Kelut,Indonesia,IDN,-7.93,112.308,1731,Stratovolcano,4,1966,1900s,1
Kelut,Indonesia,IDN,-7.93,112.308,1731,Stratovolcano,4,1990,1900s,35
Kelut,Indonesia,IDN,-7.93,112.308,1731,Stratovolcano,4,1990,1900s,4
Kelut,Indonesia,IDN,-7.93,112.308,1731,Stratovolcano,4,2014,2000s,7
Raung,Indonesia,IDN,-8.125,114.042,3332,Stratovolcano,4,1638,1600s,3000
Raung,Indonesia,IDN,-8.125,114.042,3332,Stratovolcano,4,1817,1800s,15
Teon,Indonesia,IDN,-6.92,129.125,655,Stratovolcano,4,1660,1600s,3
Serua,Indonesia,IDN,-6.3,130,641,Stratovolcano,4,1693,1600s,100
Awu,Indonesia,IDN,3.67,125.5,1320,Stratovolcano,4,1812,1800s,953
Awu,Indonesia,IDN,3.67,125.5,1320,Stratovolcano,4,1966,1900s,39
Makian,Indonesia,IDN,0.32,127.4,1357,Stratovolcano,4,1646,1600s,100
Makian,Indonesia,IDN,0.32,127.4,1357,Stratovolcano,4,1760,1700s,2000
Makian,Indonesia,IDN,0.32,127.4,1357,Stratovolcano,4,1861,1800s,326
Galunggung,Indonesia,IDN,-7.25,108.058,2168,Stratovolcano,5,1822,1800s,4011
Kelut,Indonesia,IDN,-7.93,112.308,1731,Stratovolcano,5,1586,1500s,10000
Raung,Indonesia,IDN,-8.125,114.042,3332,Stratovolcano,5,1593,1500s,15
Agung,Indonesia,IDN,-8.342,115.508,3142,Stratovolcano,5,1963,1900s,1000
